id|authority_id|name|url|machine_name|sort_name
236|236|Liverpool University Press|http://www.liverpooluniversitypress.co.uk/|liverpool university press|liverpool university press
237|119|Barrow Street||barrow street|barrow street
238|238|Lost Horse Press||lost horse press|lost horse press
239|239|Casa de los Poetas Editores||casa de los poetas editores|casa de los poetas editores
240|279|Sense||sense|sense
241|210|John Wiley & Sons, Inc.||john wiley sons inc|john wiley sons inc
242|649|Agricultural History Society||agricultural history society|agricultural history society
243|243|Aspen Publishers, Inc.||aspen publishers inc|aspen publishers inc
244|210|Wiley-Blackwell Verlag GmbH||wiley blackwell verlag gmbh|wiley blackwell verlag gmbh
245|2079|Public Library of Science||public library of science|public library of science
246|246|Fiction Southeast||fiction southeast|fiction southeast
247|725|American Entomological Society||american entomological society|american entomological society
248|418|Elsevier BV * North-Holland||elsevier bv north holland|elsevier bv north holland
249|249|American Oriental Society||american oriental society|american oriental society
250|224|University of North Carolina at Wilmington * Department of Creative Writing||university of north carolina at wilmington department of creative writing|university of north carolina at wilmington department of creative writing
251|251|Society of Exploration Geophysicists|http://www.seg.org/seg|society of exploration geophysicists|society of exploration geophysicists
252|252|The University of Chicago Press||the university of chicago press|university of chicago press
253|253|Penn State University Press|http://www.psupress.org/|penn state university press|penn state university press
254|254|California College of the Arts||california college of the arts|california college of the arts
255|587|American Medical Association||american medical association|american medical association
256|256|Forum for Research in Empirical International Trade|http://www.eiit.org/|forum for research in empirical international trade|forum for research in empirical international trade
257|11|Springer New York LLC||springer new york llc|springer new york llc
258|258|Washington and Lee University, School of Law||washington and lee university school of law|washington and lee university school of law
259|259|Association of Writers & Writing Programs||association of writers writing programs|association of writers writing programs
260|360|Routledge||routledge|routledge
261|261|Cubanabooks||cubanabooks|cubanabooks
262|745|American Physical Society||american physical society|american physical society
263|263|Ohio University , E. W. Scripps School of Journalism||ohio university e w scripps school of journalism|ohio university e w scripps school of journalism
264|418|Elsevier GmbH - Urban und Fischer||elsevier gmbh urban und fischer|elsevier gmbh urban und fischer
265|265|Publications de la Sorbonne||publications de la sorbonne|publications de la sorbonne
266|266|Cengage Learning PTR||cengage learning ptr|cengage learning ptr
267|11|Springer International Publishing||springer international publishing|springer international publishing
268|268|Fairleigh Dickinson University Press||fairleigh dickinson university press|fairleigh dickinson university press
269|1065|Catholic University of America Press||catholic university of america press|catholic university of america press
270|270|Vrije Universiteit Amsterdam. University Library e-Publishing||vrije universiteit amsterdam university library e publishing|vrije universiteit amsterdam university library e publishing
271|435|John Benjamins Publishing Co.||john benjamins publishing co|john benjamins publishing co
272|272|International Society of Philosophy and Cosmology||international society of philosophy and cosmology|international society of philosophy and cosmology
273|2899|Armstrong Atlantic State University * Department of Languages, Literature and Philosophy||armstrong atlantic state university department of languages literature and philosophy|armstrong atlantic state university department of languages literature and philosophy
274|274|University of Southern Mississippi||university of southern mississippi|university of southern mississippi
275|275|Hogrefe Verlag GmbH & Co. KG||hogrefe verlag gmbh co kg|hogrefe verlag gmbh co kg
276|2633|University of British Columbia, Pacific Affairs||university of british columbia pacific affairs|university of british columbia pacific affairs
277|277|Syracuse University Press||syracuse university press|syracuse university press
278|278|Minor Arcana Press||minor arcana press|minor arcana press
279|279|Sense Publishers||sense publishers|sense publishers
280|280|Gettysburg College||gettysburg college|gettysburg college
281|281|Small Beer Press||small beer press|small beer press
282|282|The Poetry Foundation||the poetry foundation|poetry foundation
283|2965|Washington and Lee University * Shenandoah||washington and lee university shenandoah|washington and lee university shenandoah
284|284|Salamander, Inc.||salamander inc|salamander inc
285|285|Southern Illinois University at Edwardsville||southern illinois university at edwardsville|southern illinois university at edwardsville
286|286|University of Iowa Press||university of iowa press|university of iowa press
287|287|Dr. Rudolf Habelt GmbH||dr rudolf habelt gmbh|dr rudolf habelt gmbh
288|288|VA Engage||va engage|va engage
289|289|The Endocrine Society||the endocrine society|endocrine society
290|290|&#268;eská pedagogická spole&#269;nost|http://www.cpds.cz/|268 esk pedagogick spole 269 nost|268 esk pedagogick spole 269 nost
291|291|&#268;eské vysoké u&#269;ení technické v Praze|http://intranet.cvut.cz/|268 esk vysok u 269 en technick v praze|268 esk vysok u 269 en technick v praze
292|292|&#350;tefan cel Mare University of Suceava|http://www.usv.ro/index.php/en|350 tefan cel mare university of suceava|350 tefan cel mare university of suceava
293|293|&#917;&#952;&#957;&#953;&#954;&#972; &#922;&#941;&#957;&#964;&#961;&#959; &#922;&#959;&#953;&#957;&#969;&#957;&#953;&#954;&#974;&#957; &#917;&#961;&#949;&#965;&#957;&#974;&#957;|http://www.ekke.gr/|917 952 957 953 954 972 922 941 957 964 961 959 922 959 953 957 969 957 953 954 974 957 917 961 949 965 957 974 957|917 952 957 953 954 972 922 941 957 964 961 959 922 959 953 957 969 957 953 954 974 957 917 961 949 965 957 974 957
294|294|Philosophy Documentation Center|http://www.pdcnet.org/|philosophy documentation center|philosophy documentation center
295|210|Wiley Open Access|http://www.wileyopenaccess.com/view/index.html|wiley open access|wiley open access
296|210|Wiley Open Access|http://www.wileyopenaccess.com/view/index.html|wiley open access|wiley open access
297|210|Wiley Open Access|http://www.wileyopenaccess.com/view/index.html|wiley open access|wiley open access
298|874|Association for Information Science and Technology (ASIS&T) (Blue)|http://www.asis.org/|association for information science and technology asis t blue|association for information science and technology asis t blue
299|874|Association for Information Science and Technology (ASIS&T) (Green)|http://www.asis.org/|association for information science and technology asis t green|association for information science and technology asis t green
300|2627|University of Arizona (Blue)|https://journals.uair.arizona.edu/index.php/|university of arizona blue|university of arizona blue
301|2627|University of Arizona (Green)|https://journals.uair.arizona.edu/index.php/|university of arizona green|university of arizona green
302|302|1066 Tidsskrift for historie|http://www.universitypress.dk/shop/1066-tidsskrift-for-73c1.html|1066 tidsskrift for historie|1066 tidsskrift for historie
303|118|University of California Press|http://www.collabra.org/|university of california press|university of california press
304|304|Optical Society of America|http://www.osa.org/|optical society of america|optical society of america
305|304|Optical Society of America|http://www.osa.org/|optical society of america|optical society of america
306|306|Laboratório Nacional de Energia e Geologia|http://www.lneg.pt/|laborat rio nacional de energia e geologia white|laborat rio nacional de energia e geologia white
307|2610|Université Paris 3, Institut des Hautes Etudes de l'Amérique Latine (IHEAL / Université Paris 3)|http://www.iheal.univ-paris3.fr/|universit paris 3 institut des hautes etudes de l am rique latine iheal universit paris 3|universit paris 3 institut des hautes etudes de l am rique latine iheal universit paris 3
308|308|Akademie věd České republiky, Knihovna: Knihy a dejiny|http://www.knav.cz/|akademie v d esk republiky knihovna knihy a dejiny|akademie v d esk republiky knihovna knihy a dejiny
309|309|Taylor & Francis Open|http://www.tandfonline.com/page/openaccess|taylor francis open|taylor francis open
310|1512|Institut Français d'Etudes Andines (IFEA)|http://www.ifeanet.org/|institut fran ais d etudes andines ifea|institut fran ais d etudes andines ifea
311|313|Università degli Studi di Milano (University of Milan)|http://riviste.unimi.it/index.php|universit degli studi di milano university of milan|universit degli studi di milano university of milan
312|312|Università degli Studi di Milano (Green)|http://riviste.unimi.it/index.php|universit degli studi di milano green|universit degli studi di milano green
313|313|Università degli Studi di Milano (Blue)|http://riviste.unimi.it/index.php|universit degli studi di milano blue|universit degli studi di milano blue
314|1240|ediPUCRS|http://revistaseletronicas.pucrs.br/fo/ojs/index.php/face/index|edipucrs|edipucrs
315|315|ediPUCRS (Green)|http://revistaseletronicas.pucrs.br/fo/ojs/index.php/belt|edipucrs green|edipucrs green
316|418|Elsevier (Cell Press)|http://www.cell.com/cellpress|elsevier cell press|elsevier cell press
317|418|Elsevier (Cell Press) (White)|http://www.cell.com/cellpress|elsevier cell press white|elsevier cell press white
318|418|Elsevier (Cell Press) (Blue)|http://www.cell.com/|elsevier cell press blue|elsevier cell press blue
319|360|Taylor & Francis (Psychology Press)|http://www.psypress.com/|taylor francis psychology press|taylor francis psychology press
320|2553|Universidade Federal do Espírito Santo|http://www.ufes.br/|universidade federal do esp rito santo|universidade federal do esp rito santo
321|321|Universidad de Costa Rica (Blue)|http://revistas.ucr.ac.cr/index.php/ingenieria|universidad de costa rica blue|universidad de costa rica blue
322|322|University of Hawaii Press|http://www.uhpress.hawaii.edu/|university of hawaii press green|university of hawaii press green
323|325|EDP Sciences (Green)|http://www.epj.org/|edp sciences green|edp sciences green
324|324|EDP Sciences (Blue)|http://www.epj.org/|edp sciences blue|edp sciences blue
325|325|EDP Sciences (Green)|http://publications.edpsciences.org/|edp sciences green|edp sciences green
326|1308|Ernst und Sohn|http://www.ernst-und-sohn.de/|ernst und sohn|ernst und sohn
327|327|Akademie ved Ceske republiky, Matematicky ustav|http://www.math.cas.cz/|akademie ved ceske republiky matematicky ustav|akademie ved ceske republiky matematicky ustav
328|1910|Nomos Verlagsgesellschaft|http://www.nomos.de/|nomos verlagsgesellschaft|nomos verlagsgesellschaft
329|329|Universidad Politécnica de Valencia (PoliPapers)|http://www.upv.es/|universidad polit cnica de valencia polipapers|universidad polit cnica de valencia polipapers
330|329|Universidad Politécnica de Valencia (PoliPapers) (White)|http://www.upv.es/|universidad polit cnica de valencia polipapers white|universidad polit cnica de valencia polipapers white
331|329|Universidad Politécnica de Valencia (PoliPapers) (Green)|http://www.upv.es/|universidad polit cnica de valencia polipapers green|universidad polit cnica de valencia polipapers green
332|332|Library and Information Technology Association|http://www.ala.org/lita|library and information technology association blue|library and information technology association blue
333|333|Fagbokforlaget|http://fagbokforlaget.no/|fagbokforlaget|fagbokforlaget
334|333|Fagbokforlaget|http://fagbokforlaget.no/|fagbokforlaget|fagbokforlaget
335|335|Inter Research|http://www.int-res.com/|inter research|inter research
336|336|Nutrition Society (Yellow)|http://www.nutritionsociety.org/journal-nutritional-science|nutrition society yellow|nutrition society yellow
337|1768|London Mathematical Society|http://www.lms.ac.uk/|london mathematical society|london mathematical society
338|1768|London Mathematical Society|http://www.lms.ac.uk/publication/tlms|london mathematical society|london mathematical society
339|1366|Foundation Compositio Mathematica|http://algebraicgeometry.nl/|foundation compositio mathematica|foundation compositio mathematica
340|340|BioScientifica|http://www.bioscientifica.com/|bioscientifica blue|bioscientifica blue
341|340|BioScientifica|http://www.endocrineconnections.com/|bioscientifica|bioscientifica
342|340|BioScientifica|https://www.edmcasereports.com/|bioscientifica|bioscientifica
343|343|University of Kent|http://www.kent.ac.uk/|university of kent|university of kent
344|344|National Academy of Sciences of the Republic of Armenia|http://www.sci.am/|national academy of sciences of the republic of armenia|national academy of sciences of the republic of armenia
345|1749|Libertas Academica|http://www.la-press.com/|libertas academica|libertas academica
346|346|American Society for Microbiology|http://www.asm.org/|american society for microbiology|american society for microbiology
347|346|American Society for Microbiology|http://mbio.asm.org/|american society for microbiology|american society for microbiology
348|1271|Elektroniczna BIBlioteka (EBIB Association)|http://www.ebib.pl/|elektroniczna biblioteka ebib association|elektroniczna biblioteka ebib association
349|351|Universidad Nacional de Costa Rica (Green)|http://www.una.ac.cr/|universidad nacional de costa rica green|universidad nacional de costa rica green
350|351|Universidad Nacional de Costa Rica (Blue)|http://www.una.ac.cr/|universidad nacional de costa rica blue|universidad nacional de costa rica blue
351|351|Universidad Nacional de Costa Rica|http://www.una.ac.cr/|universidad nacional de costa rica|universidad nacional de costa rica
352|351|Universidad Nacional de Costa Rica|http://www.una.ac.cr/|universidad nacional de costa rica|universidad nacional de costa rica
353|353|University of Texas Press|http://www.utexas.edu/utpress/|university of texas press|university of texas press
354|354|University of London, Institute of Historical Research|http://www.history.ac.uk/|university of london institute of historical research|university of london institute of historical research
355|2039|POL Scientific|http://www.polscientifics.com/|pol scientific|pol scientific
356|2589|Universitat de Valencia|http://www.uv.es/|universitat de valencia|universitat de valencia
